Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
120,Toyota,Sequoia,Sport Utility,59638.53139035631,0.13283579507149731,0.8694225873329837,47446.677476433535,9.795603056628777e-06,0.6626764913123179,0.7514573534449972
121,BMW,M3,Coupe,60206.26911410236,0.0693370122646443,0.6020158473596806,57832.05132451861,1.1636131230526974e-05,0.6694669459735149,
122,Toyota,Avalon,Sedan,40326.28454701922,0.1458098862620637,0.9343775483787893,32486.725202726313,1.3079401233788632e-05,0.6581030269609491,0.8552420574439746
123,MAZDA,CX-5,Sport Utility,28128.998951202546,0.11760878406273417,0.645034500141314,28672.05424834122,1.0325546520681409e-05,0.733370957426299,-0.6465875179045719
124,Chrysler,Town & Country,Van,28489.552383568178,0.13767598717107768,0.760558563134989,10000.000000180868,0.0015,-2.8282561184196693,
125,Mercedes-Benz,GL 450,Sport Utility,68397.52365499524,0.1693940316422015,0.8414222997698824,15921.571861233091,0.0015,-4.9853889972319285,
126,Nissan,Titan,Truck,42456.62323717513,0.12745784745369537,0.7120815894207754,38602.49034073082,1.071015823448375e-05,0.7145382367814503,
127,Mercedes-Benz,GLS 450,Sport Utility,85188.25694219889,0.21986846349548297,0.7369994488932499,80034.6683419708,1.881894376094226e-05,0.8804564370909232,0.6047924627027127
128,Kia,Niro,Sport Utility,34333.80453069097,0.17686999687283902,-0.01689778162246003,31590.1442193683,1.9392435114423e-05,0.15701261033368785,
129,Hyundai,Tucson,Sport Utility,21207.030691073796,0.10569318574210779,0.8550321433038254,20171.00226165482,8.426548542439262e-06,0.612943505590096,0.11774169935085599
130,HUMMER,H2,Sport Utility,198329.72783215807,0.1570069653662562,0.16970677483918262,28076.276703017273,2.713258535441978e-06,0.08485678847110179,
131,GMC,Terrain,Sport Utility,26245.68611637927,0.11973680182989736,0.7471359159732798,25183.07938863786,8.911082598919308e-06,0.6536623646618531,0.221803483988267
132,Chevrolet,Avalanche,Sport Utility,44339.1772300121,0.11513834799259601,0.6989138588397681,10000.000000965558,0.0015,-4.0826470961899854,
133,Jeep,Renegade,Sport Utility,26999.079602564725,0.13763809763226115,0.46491939054160736,23858.85146977297,0.00299999999602611,-2.9217171908217536,-1.2208470018993522
